Timestamp,Name,CPU,Memory
2024-10-31 03:49:39,samdul-load_balancer-1,0.12%,85.45%
2024-10-31 03:49:39,samdul-blog-1,0.01%,80.78%
2024-10-31 03:49:42,samdul-load_balancer-1,0.12%,85.45%
2024-10-31 03:49:42,samdul-blog-1,0.00%,80.78%
2024-10-31 03:49:46,samdul-load_balancer-1,0.12%,85.61%
2024-10-31 03:49:46,samdul-blog-1,0.00%,80.78%
2024-10-31 03:49:50,samdul-load_balancer-1,0.28%,88.42%
2024-10-31 03:49:50,samdul-blog-1,0.12%,81.48%
2024-10-31 03:49:55,samdul-load_balancer-1,0.22%,88.52%
2024-10-31 03:49:55,samdul-blog-1,0.09%,81.99%
2024-10-31 03:49:59,samdul-load_balancer-1,0.23%,88.61%
2024-10-31 03:49:59,samdul-blog-1,0.08%,82.34%
2024-10-31 03:50:03,samdul-load_balancer-1,0.32%,88.75%
2024-10-31 03:50:03,samdul-blog-1,0.18%,82.93%
2024-10-31 03:50:07,samdul-load_balancer-1,0.33%,88.93%
2024-10-31 03:50:07,samdul-blog-1,0.16%,84.06%
2024-10-31 03:50:11,samdul-load_balancer-1,0.42%,89.59%
2024-10-31 03:50:11,samdul-blog-1,0.22%,84.22%
2024-10-31 03:50:15,samdul-load_balancer-1,0.44%,89.77%
2024-10-31 03:50:15,samdul-blog-1,0.24%,84.45%
2024-10-31 03:50:19,samdul-load_balancer-1,0.43%,89.80%
2024-10-31 03:50:19,samdul-blog-1,0.21%,84.45%
2024-10-31 03:50:23,samdul-load_balancer-1,0.52%,90.00%
2024-10-31 03:50:23,samdul-blog-1,0.32%,84.53%
2024-10-31 03:50:27,samdul-load_balancer-1,0.48%,90.27%
2024-10-31 03:50:27,samdul-blog-1,0.28%,84.69%
2024-10-31 03:50:31,samdul-load_balancer-1,0.55%,90.51%
2024-10-31 03:50:31,samdul-blog-1,0.33%,84.77%
2024-10-31 03:50:35,samdul-load_balancer-1,0.57%,90.82%
2024-10-31 03:50:35,samdul-blog-1,0.32%,84.88%
2024-10-31 03:50:39,samdul-load_balancer-1,0.58%,91.11%
2024-10-31 03:50:39,samdul-blog-1,0.32%,85.04%
2024-10-31 03:50:43,samdul-load_balancer-1,0.64%,91.52%
2024-10-31 03:50:43,samdul-blog-1,0.39%,85.27%
2024-10-31 03:50:47,samdul-load_balancer-1,0.59%,91.88%
2024-10-31 03:50:47,samdul-blog-1,0.37%,85.78%
2024-10-31 03:50:51,samdul-load_balancer-1,0.75%,92.27%
2024-10-31 03:50:51,samdul-blog-1,0.47%,85.82%
2024-10-31 03:50:55,samdul-load_balancer-1,0.75%,92.71%
2024-10-31 03:50:55,samdul-blog-1,0.47%,85.82%
2024-10-31 03:50:59,samdul-load_balancer-1,0.69%,93.05%
2024-10-31 03:50:59,samdul-blog-1,0.46%,86.21%
2024-10-31 03:51:03,samdul-load_balancer-1,0.81%,93.46%
2024-10-31 03:51:03,samdul-blog-1,0.52%,86.37%
2024-10-31 03:51:07,samdul-load_balancer-1,0.84%,94.14%
2024-10-31 03:51:07,samdul-blog-1,0.55%,86.91%
2024-10-31 03:51:11,samdul-load_balancer-1,0.92%,94.47%
2024-10-31 03:51:11,samdul-blog-1,0.59%,86.91%
2024-10-31 03:51:15,samdul-load_balancer-1,0.93%,94.92%
2024-10-31 03:51:15,samdul-blog-1,0.61%,87.54%
2024-10-31 03:51:19,samdul-load_balancer-1,0.82%,95.37%
2024-10-31 03:51:19,samdul-blog-1,0.53%,87.54%
